"redis_instances","throughput","type"
15,644506.26,non-ipc
15,629901.4,non-ipc
15,639844.74,non-ipc
15,643832.15,non-ipc
15,640962.47,non-ipc
15,448936.49,ipc_50threads
15,474525.08,ipc_50threads
15,460452.47,ipc_50threads
15,449955.74,ipc_50threads
15,457952.2,ipc_50threads
15,459359.23,ipc_40threads
15,460652.35,ipc_40threads
15,419732.49,ipc_40threads
15,435188.0,ipc_40threads
15,424996.01,ipc_40threads
15,442073.77,ipc_30threads
15,448560.53,ipc_30threads
15,438288.52,ipc_30threads
15,426995.44,ipc_30threads
15,452375.88,ipc_30threads
15,449155.27,ipc_20threads
15,448080.13,ipc_20threads
15,435576.58,ipc_20threads
15,433915.97,ipc_20threads
15,422909.41,ipc_20threads
15,461063.5,ipc_15threads
15,474052.03,ipc_15threads
15,422508.94,ipc_15threads
15,421753.34,ipc_15threads
15,446687.08,ipc_15threads
15,568662.76,ipc_10threads
15,549316.2,ipc_10threads
15,518669.7,ipc_10threads
15,524574.27,ipc_10threads
15,526643.88,ipc_10threads
15,561399.23,ipc_8threads
15,580695.32,ipc_8threads
15,584706.92,ipc_8threads
15,566764.72,ipc_8threads
15,573186.99,ipc_8threads
15,572382.08,ipc_4threads
15,575392.99,ipc_4threads
15,585590.46,ipc_4threads
15,576821.53,ipc_4threads
15,618576.79,ipc_4threads
15,619890.82,ipc_2threads
15,647284.98,ipc_2threads
15,627442.82,ipc_2threads
15,643095.17,ipc_2threads
15,610697.61,ipc_2threads
