"redis_instances","throughput","type"
30,862732.65,non-ipc
30,849643.7,non-ipc
30,852209.11,non-ipc
30,847789.73,non-ipc
30,851360.81,non-ipc
30,763749.4,ipc_60threads
30,692153.47,ipc_60threads
30,772951.39,ipc_60threads
30,725946.02,ipc_60threads
30,768494.97,ipc_60threads
30,698106.84,ipc_50threads
30,781226.11,ipc_50threads
30,718666.67,ipc_50threads
30,788825.55,ipc_50threads
30,742709.32,ipc_50threads
30,748533.6,ipc_40threads
30,792724.44,ipc_40threads
30,702928.86,ipc_40threads
30,734131.79,ipc_40threads
30,732748.86,ipc_40threads
30,713656.98,ipc_30threads
30,690035.35,ipc_30threads
30,706818.91,ipc_30threads
30,735421.47,ipc_30threads
30,749212.51,ipc_30threads
30,725642.07,ipc_20threads
30,716061.84,ipc_20threads
30,736581.43,ipc_20threads
30,733157.01,ipc_20threads
30,729659.5,ipc_20threads
30,731410.8,ipc_10threads
30,701936.08,ipc_10threads
30,693566.71,ipc_10threads
30,720634.79,ipc_10threads
30,691580.52,ipc_10threads
30,777372.35,ipc_5threads
30,763039.6,ipc_5threads
30,768185.86,ipc_5threads
30,757136.44,ipc_5threads
30,749464.18,ipc_5threads
30,873350.34,non-ipc
30,858983.12,non-ipc
30,849172.47,non-ipc
30,857801.82,non-ipc
30,849942.14,non-ipc
