"redis_instances","throughput","type"
50,866928.26,non-ipc
50,856705.94,non-ipc
50,865390.48,non-ipc
50,864501.32,non-ipc
50,882133.07,non-ipc
50,946872.86,ipc_50threads
50,925177.42,ipc_50threads
50,938985.35,ipc_50threads
50,880210.07,ipc_50threads
50,940839.0,ipc_50threads
50,998958.84,ipc_40threads
50,918178.87,ipc_40threads
50,935749.92,ipc_40threads
50,895918.91,ipc_40threads
50,890906.24,ipc_40threads
50,904092.58,ipc_30threads
50,890338.18,ipc_30threads
50,881613.61,ipc_30threads
50,913354.68,ipc_30threads
50,834398.3,ipc_30threads
50,843244.28,ipc_20threads
50,847077.09,ipc_20threads
50,852650.1,ipc_20threads
50,829778.6,ipc_20threads
50,837605.41,ipc_20threads
50,827758.96,ipc_10threads
50,829649.32,ipc_10threads
50,830217.83,ipc_10threads
50,822843.68,ipc_10threads
50,821649.72,ipc_10threads
